"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401415612101855001","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156121","1","2","1","14","49","3","3","75","75","1","10","true","75","Rushing Touchdown","Puka Nacua run for 75 yds for a TD, (Jake Oldroyd KICK)","6.0777551197213215","2022-09-03T22:39:06.000Z"
"401415612101855003","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156122","2","1","1","14","49","3","3","65","65","1","10","false","20","Kickoff Return (Offense)","Jake Oldroyd kickoff for 58 yds , Brian Battie return for 20 yds to the SFla 27","","2022-09-03T22:39:06.000Z"
"401415612101877901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","1","1","12","20","3","3","65","65","1","10","false","2","Rush","Christopher Brooks run for 2 yds to the BYU 37","-0.6307968333592200","2022-09-03T22:47:29.000Z"
"401415612101879901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","2","1","12","0","3","3","63","63","2","8","false","7","Pass Reception","Jaren Hall pass complete to Dallin Holker for 7 yds to the BYU 44","0.5781824818374678","2022-09-03T22:48:48.000Z"
"401415612101886901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","3","1","11","30","3","3","56","56","3","1","false","-1","Rush","Christopher Brooks run for a loss of 1 yard to the BYU 43","-1.1736841083794217","2022-09-03T22:48:55.000Z"
"401415612101889901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","4","1","11","0","3","3","57","57","4","2","false","7","Rush","Christopher Brooks run for 7 yds to the 50 yard line for a 1ST down","2.6276035384711357","2022-09-03T22:49:14.000Z"
"401415612101896901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","5","1","10","30","3","3","50","50","1","10","false","22","Pass Reception","Jaren Hall pass complete to Puka Nacua for 22 yds to the SFla 28 for a 1ST down","1.077397457982942","2022-09-03T22:49:28.000Z"
"401415612101898901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","6","1","10","10","3","3","28","28","1","10","false","-1","Rush","Christopher Brooks run for a loss of 1 yard to the SFla 29","-0.6407618928355917","2022-09-03T22:49:46.000Z"
"401415612101906701","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","7","1","9","32","3","3","29","29","2","11","false","0","Pass Incompletion","Jaren Hall pass incomplete to Christopher Brooks","-0.7548915201885969","2022-09-03T22:54:02.000Z"
"401415612101908901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","8","1","9","10","3","3","29","29","3","11","false","12","Rush","Lopini Katoa run for 12 yds to the SFla 17 for a 1ST down","1.5797647843782056","2022-09-03T22:54:42.000Z"
"401415612101909901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","9","1","9","0","3","3","17","17","1","10","false","12","Rush","Lopini Katoa run for 12 yds to the SFla 5 for a 1ST down","0.696122262225540","2022-09-03T22:54:57.000Z"
"401415612101915002","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","7","0","401415612","4014156123","3","10","1","8","49","3","2","5","5","1","0","false","0","Timeout","Timeout SOUTH FLORIDA, clock 08:49","","2022-09-03T22:58:20.000Z"
"401415612101915501","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","14","0","401415612","4014156123","3","11","1","8","44","3","2","5","5","1","5","true","5","Rushing Touchdown","Puka Nacua run for 5 yds for a TD, (Jake Oldroyd KICK)","1.883780840558874","2022-09-03T22:59:34.000Z"
"401415612101915503","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","14","0","401415612","4014156124","4","1","1","8","44","3","2","65","65","1","10","false","21","Kickoff Return (Offense)","Jake Oldroyd kickoff for 60 yds , Brian Battie return for 21 yds to the SFla 26","","2022-09-03T22:59:34.000Z"
"401415612101924103","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156125","5","1","1","7","58","3","2","65","65","1","10","false","20","Kickoff Return (Offense)","Jake Oldroyd kickoff for 55 yds , Brian Battie return for 20 yds to the SFla 30","","2022-09-03T23:04:42.000Z"
"401415612101937901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156126","6","1","1","6","20","3","2","82","82","1","10","false","7","Pass Reception","Jaren Hall pass complete to Isaac Rex for 7 yds to the BYU 25","0.4935789008473366","2022-09-03T23:12:00.000Z"
"401415612101939901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156126","6","2","1","6","0","3","2","75","75","2","3","false","8","Pass Reception","Jaren Hall pass complete to Brayden Cosper for 8 yds to the BYU 33 for a 1ST down","0.5656626793043653","2022-09-03T23:12:38.000Z"
"401415612101948901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156126","6","3","1","5","10","3","2","67","67","1","10","false","-4","Rush","Puka Nacua run for a loss of 4 yards to the BYU 29","-1.43975653386846238","2022-09-03T23:14:44.000Z"
"401415612101955401","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156126","6","4","1","4","45","3","2","71","71","2","14","false","10","Pass Reception","Jaren Hall pass complete to Masen Wake for 10 yds to the BYU 39","0.71578992754597158","2022-09-03T23:15:08.000Z"
"401415612101958401","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","21","0","401415612","4014156126","6","5","1","4","15","3","2","61","61","3","4","false","40","Rush","Christopher Brooks run for 40 yds to the SFla 21 for a 1ST down","3.5207264616681466","2022-09-03T23:15:42.000Z"
"401415612101959901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156126","6","6","1","4","0","3","2","21","21","1","10","true","21","Passing Touchdown","Jaren Hall pass complete to Keanu Hill for 21 yds for a TD, (Jake Oldroyd KICK)","2.632296813795493","2022-09-03T23:16:33.000Z"
"401415612101959903","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156127","7","1","1","4","0","3","2","65","65","1","10","false","20","Kickoff Return (Offense)","Jake Oldroyd kickoff for 65 yds , Brian Battie return for 20 yds to the SFla 20","","2022-09-03T23:16:33.000Z"
"401415612101986901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","1","1","1","30","3","2","74","74","1","10","false","7","Rush","Lopini Katoa run for 7 yds to the BYU 33","0.6195700280317222","2022-09-03T23:21:55.000Z"
"401415612101987901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","2","1","1","20","3","2","67","67","2","3","false","1","Rush","Jaren Hall run for 1 yd to the BYU 34","-0.8497370856281349","2022-09-03T23:22:07.000Z"
"401415612101995401","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","3","1","0","45","3","2","66","66","3","2","false","1","Rush","Lopini Katoa run for 1 yd to the BYU 35","-0.52762123872983406","2022-09-03T23:22:59.000Z"
"401415612101998901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","4","1","0","10","3","2","65","65","4","1","false","2","Rush","Jaren Hall run for 2 yds to the BYU 37 for a 1ST down","1.71405381520946246","2022-09-03T23:23:26.000Z"
"401415612101998902","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","5","1","0","0","3","2","65","65","0","1","false","0","End Period","End of 1st Quarter","","2022-09-03T23:24:35.000Z"
"401415612102855901","BYU","FBS Independents","South Florida","American Athletic","South Florida","BYU","28","0","401415612","4014156128","8","6","2","14","40","3","2","63","63","1","10","false","19","Pass Reception","Jaren Hall pass complete to Dallin Holker for 19 yds to the SFla 44 for a 1ST down","1.6376284360677289","2022-09-03T23:27:49.000Z"
